order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,delivery_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,delivery_hours,late_delivery
O00001,C0292,Passenger,2024-08-20 14:43:00,6,Airport,South,Medium,126.65,App,0,DL00937,D047,V090,H01,2024-08-20 16:29:00,2024-08-20 18:52:56.172161,OnTime,26.65,2.0,0.0,4.29,15.82,24,South,Consumer,2025-03-02 11:24:00,73.2,57.9,App,Active,2.398936711388889,0
O00002,C0459,Passenger,2024-05-14 22:16:00,24,North,AIRPORT,Low,109.3,App,0,,,,,,,,,,,,,20,WEST,Consumer,2024-09-23 21:00:00,56.1,62.6,App,Dormant,,0
O00003,C0161,Passenger,2025-09-02 14:37:00,4,West,AIRPORT,High,33.5,Phone,0,DL00925,D041,V100,H02,2025-09-02 16:59:00,2025-09-03 01:50:39.644673,Delayed,13.04,2.0,0.0,3.7,13.16,42,north,Consumer,2024-06-07 22:41:00,87.1,36.6,App,Active,8.861012409166666,0
O00004,C0520,Parcel,2025-01-11 17:15:00,2,RiverSide,North,Medium,10.04,App,1,DL00002,D138,V007,H02,2025-01-11 18:45:00,2025-01-11 17:39:00.000000,OnTime,10.34,1.0,0.0,5.0,13.41,50,NORTH,Consumer,2025-04-21 07:28:00,53.6,80.4,Partner API,Active,-1.1,0
O00005,C0558,Retail,2025-02-17 19:32:00,12,Riverside,SOUTH,Low,125.58,Phone,0,DL00671,D054,V073,H03,2025-02-17 20:23:00,2025-02-18 08:05:00.047082,OnTime,16.01,1.0,0.0,4.38,13.53,23,SOUTH,Consumer,2024-06-29 19:47:00,64.3,38.5,Phone,Active,11.700013078333333,0
O00006,C0437,Retail,2024-08-05 04:55:00,1,CENTRAL,East,High,151.44,Web,1,,,,,,,,,,,,,51,Airport,Consumer,2025-04-16 19:57:00,50.7,49.3,App,Active,,0
O00007,C0001,Business,2024-05-05 21:32:00,2,CENTRAL,Airport,Low,76.12,App,0,DL00120,D128,V047,H06,2024-05-05 22:10:00,2024-05-06 07:05:17.555250,Delayed,9.07,1.0,1.0,3.93,9.76,26,North,SME,2024-11-27 04:25:00,44.9,69.2,App,Active,8.921543125,0
O00008,C0157,Parcel,2024-04-03 17:54:00,4,Riverside,Riverside,Medium,35.06,Phone,0,DL00201,D036,V041,H03,2024-04-03 20:22:00,2024-04-03 20:46:56.611810,OnTime,14.08,0.0,0.0,5.0,12.87,50,CENTRAL,Consumer,2025-03-28 10:04:00,67.9,46.8,App,Active,0.4157255027777778,0
O00009,C0141,Retail,2024-10-03 23:49:00,12,NORTH,East,Critical,78.93,App,0,DL00042,D146,V020,H01,2024-10-04 01:05:00,2024-10-04 10:49:54.333414,OnTime,12.02,0.0,0.0,4.45,11.41,37,West,Consumer,2024-05-03 17:03:00,29.6,32.1,Partner API,Dormant,9.748425948333333,0
O00010,C0171,Retail,2025-01-29 00:42:00,6,South,north,Low,34.55,Phone,0,DL00032,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46.344204,OnTime,15.58,1.0,0.0,4.23,13.75,47,SOUTH,Consumer,2024-01-20 10:35:00,82.4,81.9,Phone,Active,2.9962067233333336,0
O00011,C0340,Parcel,2025-08-04 04:19:00,12,WEST,Central,Low,79.1,Phone,0,,,,,,,,,,,,,43,EAST,Consumer,2025-03-18 09:54:00,34.7,26.3,App,Active,,0
O00012,C0567,Business,2024-01-16 12:45:00,12,East,Airport,Medium,135.67,App,0,DL00606,D075,V112,H04,2024-01-16 13:32:00,2024-01-16 23:32:34.302064,OnTime,13.39,0.0,0.0,4.12,13.11,74,East,Consumer,2024-02-18 04:31:00,79.7,64.9,App,Active,10.009528351111111,0
O00013,C0234,Retail,2024-03-29 22:11:00,24,Airport,Central,Medium,302.7,App,0,DL00236,D163,V009,H07,2024-03-29 22:48:00,2024-03-30 20:39:02.394303,OnTime,20.12,2.0,0.0,3.74,17.02,71,North,Consumer,2024-03-27 18:33:00,54.1,74.6,App,Active,21.850665084166664,0
O00014,C0318,Passenger,2024-08-25 10:12:00,6,Ctr,Ctr,Low,90.96,Phone,0,DL00441,D141,V068,H01,2024-08-25 12:01:00,2024-08-25 15:01:44.356021,OnTime,8.82,0.0,0.0,4.7,7.36,48,WEST,Consumer,2025-05-09 17:42:00,68.2,71.0,App,Dormant,3.0123211169444444,0
O00015,C0300,Business,2025-11-09 03:04:00,6,SOUTH,East,High,145.58,Web,0,DL00804,D052,V097,H03,2025-11-09 05:43:00,2025-11-09 09:20:46.099682,OnTime,9.3,1.0,0.0,3.94,9.13,37,CENTRAL,Consumer,2025-03-14 08:54:00,65.2,36.6,App,Active,3.629472133888889,0
O00016,C0022,Parcel,2025-07-29 11:51:00,6,Central,Ctr,Medium,92.66,App,0,DL00660,D008,V001,H02,2025-07-29 13:52:00,2025-07-29 17:01:03.042495,OnTime,16.1,2.0,0.0,3.36,14.03,71,RiverSide,Consumer,2024-07-29 15:43:00,62.2,58.9,App,Active,3.1508451374999997,0
O00017,C0499,Parcel,2025-05-27 09:12:00,24,AIRPORT,South,Low,60.9,App,0,DL00672,D108,V030,H02,2025-05-27 11:38:00,2025-05-28 08:21:51.612170,OnTime,35.33,5.0,0.0,4.94,19.77,40,Ctr,Consumer,2025-10-13 12:05:00,55.9,74.5,App,Active,20.731003380555553,0
O00018,C0506,Passenger,2024-03-08 22:19:00,6,NORTH,Riverside,High,121.11,Phone,0,DL00902,D015,V047,H06,2024-03-08 23:03:00,2024-03-09 02:59:39.833152,OnTime,17.27,0.0,0.0,5.0,12.37,19,Airport,Enterprise,2025-06-14 05:24:00,56.3,62.0,App,Active,3.9443980977777775,0
O00019,C0425,Passenger,2024-03-31 07:18:00,6,North,CENTRAL,Low,56.26,Phone,0,DL00109,D014,V083,H05,2024-03-31 09:02:00,2024-03-31 12:20:28.945640,OnTime,16.7,1.0,0.0,3.52,16.91,55,Riverside,Consumer,2024-12-01 10:29:00,66.3,76.1,App,Dormant,3.3080404555555556,0
O00020,C0249,Retail,2024-05-09 22:25:00,2,West,AIRPORT,Medium,100.78,App,0,DL00752,D069,V013,H01,2024-05-09 23:04:00,2024-05-09 22:49:00.000000,OnTime,12.27,1.0,0.0,4.33,8.63,26,WEST,Consumer,2025-01-20 14:35:00,36.7,51.8,Phone,Dormant,-0.25,0
